Player,draft_year,draft_round,draft_number
Don Sechler,1971,2,185
Roger Moore,1971,2,186
Chris Schrobilgen,1971,2,187
Bob Connor,1971,2,188
John Dalton,1971,2,189
Bob Horn,1971,2,190
Ken Kowall,1971,2,191
Floyd Mason,1971,2,192
Ken Riley,1971,2,193
Carl Greenfield,1971,2,194
Gene Mumford,1971,2,195
Bobby Jones,1971,2,196
Pete Smith,1971,2,197
Ed Jenkins,1971,2,198
Lee McCullough,1971,2,199
Tom Crosswhite,1971,2,200
Leroy Chalk,1971,2,201
Willie Roberson,1971,2,202
Hank Commodore,1971,2,203
Ron Dorsey,1971,2,204
Ed Goode,1971,2,205
Larry Duckworth,1971,2,206
Pierre Russell,1971,2,207
Bubbles Harris,1971,2,208
Ray Lavender,1971,2,209
Gene Roberson,1971,2,210
Rudolph Peele,1971,2,211
Art Davis,1971,2,212
Ken Booker,1971,2,213
Richard Dixon,1971,2,214
Jack O'Connor,1971,2,215
George Jackson,1971,2,216
Larry Baker,1971,2,217
William Chatmon,1971,2,218
Bill Quigg,1971,2,219
Morrell James,1971,2,220
James Fleming,1971,2,221
Curtis Carter,1971,2,222
Lisco Thomas,1971,2,223
Loyd King,1971,2,224
Tyree Vance,1971,2,225
James Douglas,1971,2,226
Leonard Jackson,1971,2,227
Fred Smiley,1971,2,228
Bob Bissant,1971,2,229
Nelson Isley,1971,2,230
Steve Sims,1971,2,231
Leroy Jenkins,1971,2,232
Joey Meyer,1971,2,233
Carlos Quintanar,1971,2,234
Ike Bundy,1971,2,235
Gary Schneider,1971,2,236
Ed Jenkins,1971,2,237
LaRue Martin,1972,1,1
Bob McAdoo,1972,1,2
Dwight Davis,1972,1,3
Corky Calhoun,1972,1,4
